Voltage,Current
35.67623132,4.02
35.67077799,4.03
35.66531363,4.04
35.65983822,4.05
35.65435169,4.06
35.64885399,4.07
35.64334509,4.08
35.63782491,4.09
35.63229342,4.1
35.62675057,4.11
35.62119629,4.12
35.61563055,4.13
35.61005328,4.14
35.60446444,4.15
35.59886396,4.16
35.59325181,4.17
35.58762792,4.18
35.58199224,4.19
35.57634472,4.2
35.57068529,4.21
35.56501391,4.22
35.55933053,4.23
35.55363507,4.24
35.54792749,4.25
35.54220774,4.26
35.53647574,4.27
35.53073145,4.28
35.52497481,4.29
35.51920576,4.3
35.51342424,4.31
35.50763019,4.32
35.50182354,4.33
35.49600425,4.34
35.49017226,4.35
35.48432748,4.36
35.47846988,4.37
35.47259939,4.38
35.46671593,4.39
35.46081946,4.4
35.4549099,4.41
35.4489872,4.42
35.44305129,4.43
35.4371021,4.44
35.43113957,4.45
35.42516364,4.46
35.41917423,4.47
35.41317129,4.48
35.40715474,4.49
35.40112451,4.5
35.39508055,4.51
35.38902277,4.52
35.38295111,4.53
35.37686551,4.54
35.37076588,4.55
35.36465217,4.56
35.35852429,4.57
35.35238219,4.58
35.34622577,4.59
35.34005498,4.6
35.33386974,4.61
35.32766997,4.62
35.3214556,4.63
35.31522655,4.64
35.30898276,4.65
35.30272413,4.66
35.2964506,4.67
35.29016209,4.68
35.28385852,4.69
35.27753982,4.7
35.27120589,4.71
35.26485666,4.72
35.25849206,4.73
35.25211199,4.74
35.24571639,4.75
35.23930516,4.76
35.23287822,4.77
35.22643549,4.78
35.21997688,4.79
35.21350231,4.8
35.2070117,4.81
35.20050495,4.82
35.19398198,4.83
35.1874427,4.84
35.18088702,4.85
35.17431485,4.86
35.16772611,4.87
35.16112069,4.88
35.15449852,4.89
35.14785949,4.9
35.14120352,4.91
35.13453051,4.92
35.12784036,4.93
35.12113298,4.94
35.11440828,4.95
35.10766615,4.96
35.10090649,4.97
35.09412922,4.98
35.08733423,4.99
35.08052141,5
35.07369067,5.01
35.06684191,5.02
35.05997502,5.03
35.05308989,5.04
35.04618643,5.05
35.03926453,5.06
35.03232408,5.07
35.02536497,5.08
35.01838709,5.09
35.01139033,5.1
35.0043746,5.11
34.99733976,5.12
34.99028571,5.13
34.98321234,5.14
34.97611953,5.15
34.96900717,5.16
34.96187513,5.17
34.95472331,5.18
